registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
icr.io,cpopen/ibm-cpd-platform-operator,3.8.0-3,sha256:4e56e12d3f25326aad89ac9904023be8f7eef9162e4fc7f1e93963f8e80b5494,LIST,"","","",0,CASE,"",""
icr.io,cpopen/ibm-cpd-platform-operator,3.8.0-3-amd64,sha256:eb6ba57ca8b212628844c6d017013a1c3c394bb9b4c38653554b947e391270af,IMAGE,linux,amd64,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-platform-operator,3.8.0-3-ppc64le,sha256:0e0a0c2dcaf48733ba8f28e31e9ba54c656e448673b9dea1351fbc2a7c06db44,IMAGE,linux,ppc64le,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-platform-operator,3.8.0-3-s390x,sha256:360dd04ab816ad3b7caad95db02cc5f74fb255fa5e3934a8747254272a8f7d48,IMAGE,linux,s390x,"",0,CASE,"",""
icr.io,cpopen/ibm-cpd-platform-operator-bundle,3.8.0-3,sha256:5b174ae764aeacbfc95ecd3ee5a4bc4d561bf21b333607acaaa7f1a473e598e1,LIST,"","","",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-cpd-platform-operator-bundle,3.8.0-3-amd64,sha256:032cda1c8377a02dbd077c1778527e7f2891b17863a514978f94d779cc3ba3a3,IMAGE,linux,amd64,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-cpd-platform-operator-bundle,3.8.0-3-ppc64le,sha256:ccd43653306de2706fc27328976439b0935c87c8833f8ae99270cd4521e6bd6e,IMAGE,linux,ppc64le,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-cpd-platform-operator-bundle,3.8.0-3-s390x,sha256:d7a2ce0675ed5fd5c2095601e760330b004b3617af009f70b18bc0793dc4f1c3,IMAGE,linux,s390x,"",0,CASE,olm-bundle,""
icr.io,cpopen/ibm-cpd-platform-operator-catalog,3.8.0-3,sha256:9147e737ff029d573ec9aa018f265761caab37e135d09245f0770b3396259a04,LIST,"","","",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-platform-operator-catalog,3.8.0-3-amd64,sha256:322e7fac0ea7f1ae86f0bb24c7f83a4f46029f027c62c10cdd84ec4dfb67518a,IMAGE,linux,amd64,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-platform-operator-catalog,3.8.0-3-ppc64le,sha256:f21907c42caf19c12e6820762bc35820e156a5689b2c2031a4cbdc1162d0793a,IMAGE,linux,ppc64le,"",0,CASE,olm-catalog,""
icr.io,cpopen/ibm-cpd-platform-operator-catalog,3.8.0-3-s390x,sha256:64feafcb6fb2222c72fb252cde6bf03e142adddc27fdfcb9cad1a1f3b61325c5,IMAGE,linux,s390x,"",0,CASE,olm-catalog,""
cp.icr.io,cp/cpd/cpd-sizing,4.6.5,sha256:d66c773660f1025f2b4a84618f8c738938568876a9fdf30c7581e44505791fa8,IMAGE,linux,amd64,"",0,CASE,"",""
